model_type,loss_strategy,mean_val_accuracy,mean_val_balanced_accuracy,mean_val_f1_macro,mean_val_top_3_accuracy,mean_val_top_5_accuracy
simple_cnn,categorical_crossentropy,0.7555666997926559,0.3831593910849026,0.37892189396078246,0.8764173629258837,0.9219876820395795
simple_cnn,with_class_weights,0.6480912682346303,0.4212220948504726,0.3540805931679888,0.8258993092617812,0.8940029690701412
simple_cnn,focal_loss,0.5980664237427461,0.4406970376474642,0.37770000494526157,0.8236740402664802,0.8942508005447385
simple_cnn,class_balanced_loss,0.6723496141435705,0.4402242599671046,0.39023887224378956,0.8464457040499589,0.9066270381685009
intermediate_cnn,categorical_crossentropy,0.8273758695572159,0.5641426176410487,0.5493071748555305,0.9148030230532347,0.9509624940189185
intermediate_cnn,with_class_weights,0.8003922975940716,0.5987768706083966,0.5712911801118807,0.9185204951721937,0.9546790459715118
intermediate_cnn,focal_loss,0.7763698209969696,0.5774266703177433,0.5360490243379551,0.914061675684297,0.9531923638460501
intermediate_cnn,class_balanced_loss,0.7738991743040475,0.6130940570563543,0.5622709220157571,0.9153020599457715,0.9507165028770533
complex_cnn,categorical_crossentropy,0.851410615039199,0.6118861501453036,0.6030162262552591,0.9333842492055897,0.9566620044904118
complex_cnn,with_class_weights,0.7964386494411524,0.5905994200821314,0.5565876108863943,0.9160510753677599,0.9497306979768609
complex_cnn,focal_loss,0.757546897812458,0.6098150018383226,0.5584639570013288,0.9234746708871631,0.9576511833339467
complex_cnn,class_balanced_loss,0.8159970922742833,0.629862834834584,0.5933158295681884,0.9348641834443668,0.9623550737973426
